field_uuid,crop_name,average_yield
62ed29af-baa3-42de-b9ec-8a889df0e42c,corn,5702.0
71c2cab0-5997-4e92-bd2a-da2ebe4e9aa6,soybeans,5193.0
4876b6f5-4b4c-4026-a037-eaceea48ab06,soybeans,5800.0
015db632-e5c0-4aa7-817e-a0dc7c19e888,corn,4709.0
85f3ee96-6876-4e30-b442-b340abfd2dbc,corn,5327.0
d71c4c1b-1583-46c5-8ade-1c567aa89abb,soybeans,5573.0
6db414ac-bc6d-4011-b77a-d03024aad101,soybeans,5111.0
9af3b87f-78af-4950-b9cd-589f8862f012,soybeans,5677.0
c82766b0-f76e-41b1-8d02-03c7df08f640,corn,6427.0
fa36d921-b21f-4380-b695-c3c9c2ef9110,soybeans,5623.0
dfc2ad9a-8a94-46e0-90d1-aedab56fd54a,soybeans,5182.0
0277c7a0-5e0a-45e0-8cdd-e7eaab6a33e1,soybeans,4681.0
18bb3df3-ecb5-4bf8-b646-10c6ece52766,soybeans,4426.0
f3556342-2dc8-41ff-a1e9-7dba4505d93e,corn,5884.0
205e85f9-dd0d-43d8-8761-08b1ff165f43,soybeans,6005.0
9f67eb28-7ee2-495d-a1bc-5777d89e900c,corn,6653.0
8070b207-9388-4c72-bf4b-cfc22940be12,soybeans,5295.0
4a208b98-4ad0-4630-93e3-afb87cee3a85,soybeans,4068.0
36ae1328-d1ae-49c3-96b3-c9ca2ee4c5ec,corn,5217.0
00e94fe8-fe90-4889-ba1d-f5f47559a3c6,soybeans,5802.0
edcf0abd-41a6-4f3d-9b81-22d474e2771a,corn,6396.0
79f6dc62-89c9-4f46-bba7-5e3c6c6166e3,soybeans,5945.0
41bb341e-2c42-4423-b9a4-cf5496464eea,soybeans,4357.0
4e766def-5dea-43f0-b23f-e438fd692c38,soybeans,4757.0
cc66385f-c27e-4540-a465-331b9d59d04b,soybeans,4182.0
00419c8f-144b-49b3-9d2a-9e64ec6275bd,soybeans,5384.0
458515ba-d005-43b3-bfca-e6d7d4d6384c,corn,5428.0
a149c4b2-2ad1-44d7-9f5d-c6e04d884b80,soybeans,4867.0
080202a8-e2cf-4818-85f6-fbdc230c94a7,corn,5251.0
87bf31c1-c58e-45fd-a8ae-79ff8ee30fe8,corn,5873.0
af26285d-6f9c-496a-b286-09ad108ad2b5,soybeans,4580.0
63416999-d321-453d-b36a-20994edfe42f,corn,6297.0
3523b1c7-0d4e-4999-8f27-5855c1b4bb51,corn,5140.0
57946026-4510-4f52-b6f3-896ec23c4447,soybeans,4935.0
07f358de-49d1-49ec-ad70-4f4ea44f7589,soybeans,5084.0
447a3ad2-e1cc-4c2d-963b-0f2e1763925a,soybeans,4095.0
5c17de29-8c4a-44e5-b44a-2e7022f3a619,soybeans,4885.0
523a0422-384c-440d-961b-d91b73d811ad,soybeans,5297.0
97f7d761-9d6a-4b44-aba1-310e9d6beeee,soybeans,4631.0
f6e327b3-fb06-40ea-a443-9f98cec71b1f,soybeans,5890.0
6107897d-9ae1-4f3f-a2ff-42061900c632,soybeans,4082.0
705fef90-88f7-4b5b-8e12-7de8c44760ff,corn,5298.0
179d13bd-cb21-4ff3-8d1e-dbe0a6a9b75f,corn,6496.0
9d2baf52-df74-447e-8f40-73cda6f7519b,soybeans,4660.0
a690c755-b4ad-4178-9144-2b18d23e683e,corn,5176.0
5c20e844-e37e-4ed0-b0be-b7ef42034d2e,soybeans,4465.0
89a4ff1d-a9c9-4857-8fdb-707f7afcddf2,soybeans,4989.0
587cacad-7ea4-4767-9f32-731f42b63da4,soybeans,4346.0
2b2a3759-1354-4a31-8c36-50db313e65db,corn,5787.0
9ce60fec-df79-4405-bda1-d264a4ef7937,soybeans,5680.0
dfdd986b-caab-433d-b4d6-fb44fdab859c,soybeans,5881.0
3a712039-fda0-4e81-9f84-16ad6404d9ad,soybeans,5499.0
e5d2610a-5123-4422-b064-ed4cd6814def,soybeans,4457.0
4c8a6fe0-1903-4cc0-a2ac-dfed8d4fea38,soybeans,5371.0
1b897abe-3a55-4643-8c7d-da3a79009933,soybeans,5801.0
7491aa26-552f-4c3e-bc53-9f8f79cab34a,soybeans,4066.0
ba27e168-ae78-45d0-86ce-5b51763e9e53,soybeans,5051.0
4b913aa9-58ae-46d1-a6d4-15967ab79ecd,corn,6610.0
48b7e3fa-1319-4ca9-9ff5-058f2432b4f2,soybeans,4539.0
228e04cc-b124-4acb-aa53-e4334bc11368,soybeans,5174.0
321e0cc4-40c0-4983-a822-1df7a441a079,corn,6765.0
1fc4e60a-a68a-412b-acca-3269fc76cac1,soybeans,5022.0
8bbbd0f6-44dd-4979-9f1d-79538fd88b32,corn,6819.0
5f28dc5f-093b-4826-bf90-f8a43312f972,corn,4954.0
540d6bf2-dada-49c1-9616-385bbcd8c139,soybeans,5519.0
f7ead648-934d-4023-b9a1-9c80a25e5906,soybeans,5110.0
a64ee416-2208-4b47-bee4-5b93f761666b,soybeans,5343.0
ffb577df-182f-448d-a548-5713ff4548b0,soybeans,5454.0
5f88fecb-2add-4710-895c-875803815625,corn,6671.0
33f01974-0463-49a9-b987-37ae9adad8a2,soybeans,5150.0
ada3d154-5e1d-45f6-a508-dc7165e49687,soybeans,4251.0
3cc2f6ba-5d41-4caf-a644-ca86a827db59,corn,6452.0
46c3afb7-1b02-4e43-94fb-89bde7b93705,soybeans,5572.0
2db2b767-cbd1-4f84-821e-1aa20a10193c,soybeans,6074.0
4f2eb38c-e143-4921-9527-c4845fa7863c,soybeans,4420.0
807a2b90-e53b-4bd6-b330-669b848f0f8f,soybeans,4296.0
447e169f-c155-4301-8b5c-240072267526,soybeans,4358.0
c82c3713-2a7f-4ef6-b5bf-b558f389bdb5,soybeans,4586.0
8a182aab-fec1-48c3-a835-5f3ba6de7744,soybeans,4054.0
a8cdb7e8-4735-4213-a20e-33eb4d9f509a,soybeans,5820.0
9dda2c3a-a0d3-40f8-898f-cde8be599185,soybeans,4569.0
e13a2976-6fbf-4436-a8e8-52609c09bdf7,soybeans,5254.0
d2ef9b17-2033-43d3-a99c-fbe13175634e,soybeans,5598.0
62d7e542-21a8-4463-9b53-f01f249f2b30,corn,5641.0
be145fad-3e79-47be-bdad-7a5e5eafbe89,corn,5771.0
cacbdee7-5dfe-4cf4-9a0b-dbf1098cb93b,corn,6821.0
b59fe52a-25fc-4551-8a5a-d8af86843acd,soybeans,4899.0
fe554984-8444-40f2-ab3a-ee4b149160e3,soybeans,5497.0
6dd30664-a083-4fc5-8d38-54ac98b29681,soybeans,5692.0
a2cad887-8aec-4207-b578-516a15cbe36f,corn,5007.0
d4ffb192-9c62-433e-9f75-4b3b0f21e6ae,soybeans,4467.0
80dd8324-1515-4ead-a88a-75f09e8ecf37,corn,6708.0
e11916f9-cc7c-4f38-8d1d-d693ab0f0b89,corn,6298.0
45872e82-7266-45f4-afbf-51506f410964,soybeans,5613.0
d6a79b2f-bb5a-43f3-ba6f-258623face8c,soybeans,4989.0
be91b42d-1da4-41f8-a177-a0c9808dc164,soybeans,5855.0
2ac6b83b-94cb-4b48-ba5c-268b337019d7,corn,6359.0
ce21a45b-ad81-43c5-ab43-ff5c119312d9,corn,5610.0
c6393dec-8d3e-4e32-8387-9dfb2efbe86e,soybeans,4709.0
8cccd1a8-7ec4-4b24-8ea8-9a9cc581d87b,soybeans,5621.0
5d26d5fb-1a49-460a-9afa-9d639badb134,corn,6133.0
37e467fe-d48f-4470-b034-1776e244aec2,corn,4999.0
925fc053-b01f-4b25-92f0-5d4a8c0e1bcf,corn,4800.0
c9c63fe2-eb75-4e7b-81f6-e8dbd3763c58,corn,6205.0
8d6aded8-5196-4f14-81b8-08c2938858be,soybeans,4973.0
2e661288-4f31-4946-a167-b1de884d654d,soybeans,5182.0
60a83127-b372-478b-a516-fd65287e23be,soybeans,4398.0
2557797b-2681-45c6-a81a-f87cb1b9734e,corn,5358.0
b6288fd4-8d76-4e68-844e-bbfd69e68db4,soybeans,4462.0
561397bf-e032-4b4d-928c-a34cb86a6bd8,corn,5086.0
